primary_title,genres,studio,domestic_gross,year
Alien: Covenant,"Horror,Sci-Fi,Thriller",Fox,74300000.0,2017
Jack and Jill,Comedy,Sony,74200000.0,2011
Captain Underpants: The First Epic Movie,"Action,Animation,Comedy",Fox,73900000.0,2017
John Carter,"Action,Adventure,Sci-Fi",BV,73100000.0,2012
White House Down,"Action,Drama,Thriller",Sony,73100000.0,2013
Storks,"Adventure,Animation,Comedy",WB,72700000.0,2016
Dolphin Tale,"Drama,Family",WB,72300000.0,2011
Bridge of Spies,"Drama,History,Thriller",BV,72300000.0,2015
The Purge: Anarchy,"Action,Horror,Sci-Fi",Uni.,72000000.0,2014
Mama,Drama,Uni.,71600000.0,2013
The Smurfs 2,"Adventure,Animation,Comedy",Sony,71000000.0,2013
Paul Blart: Mall Cop 2,"Action,Comedy,Crime",Sony,71000000.0,2015
The Best Man Holiday,"Comedy,Drama",Uni.,70500000.0,2013
The First Purge,"Action,Horror,Sci-Fi",Uni.,69500000.0,2018
Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",Fox,68600000.0,2013
Skyscraper,"Action,Adventure,Thriller",Uni.,68400000.0,2018
Mr. Popper's Penguins,"Comedy,Family,Fantasy",Fox,68200000.0,2011
Insidious: The Last Key,"Horror,Mystery,Thriller",Uni.,67700000.0,2018
The Tourist,"Action,Adventure,Thriller",Sony,67600000.0,2010
This Is 40,"Comedy,Romance",Uni.,67500000.0,2012
A Good Day to Die Hard,"Action,Thriller",Fox,67300000.0,2013
The Bounty Hunter,"Action,Comedy,Romance",Sony,67099999.0,2010
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy,Family",BV,67000000.0,2014
Contraband,"Action,Crime,Drama",Uni.,66500000.0,2012
Magic Mike XXL,"Comedy,Drama,Music",WB,66000000.0,2015
Battleship,"Action,Adventure,Sci-Fi",Uni.,65400000.0,2012
The Visit,"Comedy,Drama,Romance",Uni.,65200000.0,2015
Exodus: Gods and Kings,"Action,Adventure,Drama",Fox,65000000.0,2014
Pitch Perfect,"Comedy,Music,Romance",Uni.,65000000.0,2012
The Purge,"Horror,Thriller",Uni.,64500000.0,2013
A Dog's Purpose,"Adventure,Comedy,Drama",Uni.,64500000.0,2017
Ice Age: Collision Course,"Adventure,Animation,Comedy",Fox,64099999.0,2016
Diary of a Wimpy Kid,"Comedy,Drama,Family",Fox,64000000.0,2010
Happy Feet Two,"Adventure,Animation,Comedy",WB,64000000.0,2011
Unknown,"Action,Mystery,Thriller",WB,63700000.0,2011
Hope Springs,"Comedy,Drama,Romance",Sony,63500000.0,2012
